Game ID,Game Name,Bet Name,Market Name,Sportsbook,line,Odds,Player Name
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Joe Musgrove Over 4.5,Player Hits Allowed,Pinnacle,4.5,116.0,Joe Musgrove
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Joe Musgrove Under 4.5,Player Hits Allowed,Pinnacle,4.5,-154.0,Joe Musgrove
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Max Fried Over 4.5,Player Hits Allowed,Pinnacle,4.5,-173.0,Max Fried
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Max Fried Under 4.5,Player Hits Allowed,Pinnacle,4.5,127.0,Max Fried
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Joe Musgrove Over 1.5,Player Earned Runs,Pinnacle,1.5,-143.0,Joe Musgrove
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Joe Musgrove Under 1.5,Player Earned Runs,Pinnacle,1.5,108.0,Joe Musgrove
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Max Fried Over 1.5,Player Earned Runs,Pinnacle,1.5,-148.0,Max Fried
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Max Fried Under 1.5,Player Earned Runs,Pinnacle,1.5,111.0,Max Fried
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Fernando Tatis Jr. Over 1.5,Player Bases,Pinnacle,1.5,150.0,Fernando Tatis Jr.
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Fernando Tatis Jr. Under 1.5,Player Bases,Pinnacle,1.5,-208.0,Fernando Tatis Jr.
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Gio Urshela Over 0.5,Player Bases,Pinnacle,0.5,-231.0,Gio Urshela
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Gio Urshela Under 0.5,Player Bases,Pinnacle,0.5,163.0,Gio Urshela
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Jackson Merrill Over 1.5,Player Bases,Pinnacle,1.5,158.0,Jackson Merrill
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Jackson Merrill Under 1.5,Player Bases,Pinnacle,1.5,-221.0,Jackson Merrill
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Jorge Soler Over 0.5,Player Bases,Pinnacle,0.5,-179.0,Jorge Soler
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Jorge Soler Under 0.5,Player Bases,Pinnacle,0.5,131.0,Jorge Soler
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Jurickson Profar Over 0.5,Player Bases,Pinnacle,0.5,-195.0,Jurickson Profar
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Jurickson Profar Under 0.5,Player Bases,Pinnacle,0.5,142.0,Jurickson Profar
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Luis Arraez Over 1.5,Player Bases,Pinnacle,1.5,147.0,Luis Arraez
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Luis Arraez Under 1.5,Player Bases,Pinnacle,1.5,-204.0,Luis Arraez
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Manny Machado Over 0.5,Player Bases,Pinnacle,0.5,-207.0,Manny Machado
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Manny Machado Under 0.5,Player Bases,Pinnacle,0.5,149.0,Manny Machado
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Marcell Ozuna Over 1.5,Player Bases,Pinnacle,1.5,112.0,Marcell Ozuna
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Marcell Ozuna Under 1.5,Player Bases,Pinnacle,1.5,-149.0,Marcell Ozuna
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Matt Olson Over 0.5,Player Bases,Pinnacle,0.5,-166.0,Matt Olson
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Matt Olson Under 0.5,Player Bases,Pinnacle,0.5,123.0,Matt Olson
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Michael Harris II Over 1.5,Player Bases,Pinnacle,1.5,151.0,Michael Harris II
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Michael Harris II Under 1.5,Player Bases,Pinnacle,1.5,-210.0,Michael Harris II
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Orlando Arcia Over 0.5,Player Bases,Pinnacle,0.5,-122.0,Orlando Arcia
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Orlando Arcia Under 0.5,Player Bases,Pinnacle,0.5,-108.0,Orlando Arcia
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Ozzie Albies Over 1.5,Player Bases,Pinnacle,1.5,147.0,Ozzie Albies
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Ozzie Albies Under 1.5,Player Bases,Pinnacle,1.5,-203.0,Ozzie Albies
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Ramon Laureano Over 0.5,Player Bases,Pinnacle,0.5,-177.0,Ramon Laureano
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Ramon Laureano Under 0.5,Player Bases,Pinnacle,0.5,130.0,Ramon Laureano
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Sean Murphy Over 0.5,Player Bases,Pinnacle,0.5,-140.0,Sean Murphy
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Sean Murphy Under 0.5,Player Bases,Pinnacle,0.5,105.0,Sean Murphy
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Xander Bogaerts Over 0.5,Player Bases,Pinnacle,0.5,-176.0,Xander Bogaerts
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Xander Bogaerts Under 0.5,Player Bases,Pinnacle,0.5,129.0,Xander Bogaerts
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Joe Musgrove Over 5.5,Player Strikeouts,Pinnacle,5.5,-107.0,Joe Musgrove
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Joe Musgrove Under 5.5,Player Strikeouts,Pinnacle,5.5,-123.0,Joe Musgrove
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Max Fried Over 4.5,Player Strikeouts,Pinnacle,4.5,-113.0,Max Fried
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Max Fried Under 4.5,Player Strikeouts,Pinnacle,4.5,-117.0,Max Fried
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Joe Musgrove Over 16.5,Player Outs,Pinnacle,16.5,108.0,Joe Musgrove
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Joe Musgrove Under 16.5,Player Outs,Pinnacle,16.5,-143.0,Joe Musgrove
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Max Fried Over 17.5,Player Outs,Pinnacle,17.5,-163.0,Max Fried
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Max Fried Under 17.5,Player Outs,Pinnacle,17.5,121.0,Max Fried
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Frankie Montas Over 4.5,Player Hits Allowed,Pinnacle,4.5,110.0,Frankie Montas
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Frankie Montas Under 4.5,Player Hits Allowed,Pinnacle,4.5,-147.0,Frankie Montas
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Sean Manaea Over 4.5,Player Hits Allowed,Pinnacle,4.5,133.0,Sean Manaea
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Sean Manaea Under 4.5,Player Hits Allowed,Pinnacle,4.5,-182.0,Sean Manaea
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Frankie Montas Over 1.5,Player Earned Runs,Pinnacle,1.5,-178.0,Frankie Montas
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Frankie Montas Under 1.5,Player Earned Runs,Pinnacle,1.5,130.0,Frankie Montas
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Sean Manaea Over 1.5,Player Earned Runs,Pinnacle,1.5,-171.0,Sean Manaea
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Sean Manaea Under 1.5,Player Earned Runs,Pinnacle,1.5,126.0,Sean Manaea
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Blake Perkins Over 0.5,Player Bases,Pinnacle,0.5,-113.0,Blake Perkins
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Blake Perkins Under 0.5,Player Bases,Pinnacle,0.5,-117.0,Blake Perkins
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Brandon Nimmo Over 1.5,Player Bases,Pinnacle,1.5,136.0,Brandon Nimmo
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Brandon Nimmo Under 1.5,Player Bases,Pinnacle,1.5,-186.0,Brandon Nimmo
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Brice Turang Over 0.5,Player Bases,Pinnacle,0.5,-188.0,Brice Turang
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Brice Turang Under 0.5,Player Bases,Pinnacle,0.5,137.0,Brice Turang
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Francisco Alvarez Over 0.5,Player Bases,Pinnacle,0.5,-132.0,Francisco Alvarez
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Francisco Alvarez Under 0.5,Player Bases,Pinnacle,0.5,-101.0,Francisco Alvarez
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Francisco Lindor Over 1.5,Player Bases,Pinnacle,1.5,107.0,Francisco Lindor
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Francisco Lindor Under 1.5,Player Bases,Pinnacle,1.5,-142.0,Francisco Lindor
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Gary Sanchez Over 0.5,Player Bases,Pinnacle,0.5,-107.0,Gary Sanchez
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Gary Sanchez Under 0.5,Player Bases,Pinnacle,0.5,-124.0,Gary Sanchez
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,J.D. Martinez Over 0.5,Player Bases,Pinnacle,0.5,-165.0,J.D. Martinez
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,J.D. Martinez Under 0.5,Player Bases,Pinnacle,0.5,122.0,J.D. Martinez
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Jackson Chourio Over 1.5,Player Bases,Pinnacle,1.5,150.0,Jackson Chourio
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Jackson Chourio Under 1.5,Player Bases,Pinnacle,1.5,-208.0,Jackson Chourio
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Joey Ortiz Over 0.5,Player Bases,Pinnacle,0.5,-117.0,Joey Ortiz
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Joey Ortiz Under 0.5,Player Bases,Pinnacle,0.5,-113.0,Joey Ortiz
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Jose Iglesias Over 1.5,Player Bases,Pinnacle,1.5,149.0,Jose Iglesias
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Jose Iglesias Under 1.5,Player Bases,Pinnacle,1.5,-206.0,Jose Iglesias
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Mark Vientos Over 1.5,Player Bases,Pinnacle,1.5,146.0,Mark Vientos
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Mark Vientos Under 1.5,Player Bases,Pinnacle,1.5,-202.0,Mark Vientos
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Pete Alonso Over 0.5,Player Bases,Pinnacle,0.5,-160.0,Pete Alonso
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Pete Alonso Under 0.5,Player Bases,Pinnacle,0.5,120.0,Pete Alonso
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Rhys Hoskins Over 0.5,Player Bases,Pinnacle,0.5,-128.0,Rhys Hoskins
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Rhys Hoskins Under 0.5,Player Bases,Pinnacle,0.5,-103.0,Rhys Hoskins
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Sal Frelick Over 0.5,Player Bases,Pinnacle,0.5,-182.0,Sal Frelick
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Sal Frelick Under 0.5,Player Bases,Pinnacle,0.5,133.0,Sal Frelick
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Starling Marte Over 0.5,Player Bases,Pinnacle,0.5,-183.0,Starling Marte
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Starling Marte Under 0.5,Player Bases,Pinnacle,0.5,134.0,Starling Marte
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Tyrone Taylor Over 0.5,Player Bases,Pinnacle,0.5,-139.0,Tyrone Taylor
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Tyrone Taylor Under 0.5,Player Bases,Pinnacle,0.5,105.0,Tyrone Taylor
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,William Contreras Over 0.5,Player Bases,Pinnacle,0.5,-196.0,William Contreras
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,William Contreras Under 0.5,Player Bases,Pinnacle,0.5,143.0,William Contreras
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Willy Adames Over 0.5,Player Bases,Pinnacle,0.5,-153.0,Willy Adames
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Willy Adames Under 0.5,Player Bases,Pinnacle,0.5,115.0,Willy Adames
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Frankie Montas Over 4.5,Player Strikeouts,Pinnacle,4.5,-139.0,Frankie Montas
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Frankie Montas Under 4.5,Player Strikeouts,Pinnacle,4.5,105.0,Frankie Montas
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Sean Manaea Over 5.5,Player Strikeouts,Pinnacle,5.5,111.0,Sean Manaea
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Sean Manaea Under 5.5,Player Strikeouts,Pinnacle,5.5,-148.0,Sean Manaea
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Sean Manaea Over 15.5,Player Outs,Pinnacle,15.5,127.0,Sean Manaea
37337-12164-2024-10-02-16,Milwaukee Brewers vs New York Mets,Sean Manaea Under 15.5,Player Outs,Pinnacle,15.5,-171.0,Sean Manaea
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Joe Musgrove Over 4.5,Player Hits Allowed,DraftKings (Pick 6),4.5,-145.0,Joe Musgrove
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Joe Musgrove Under 4.5,Player Hits Allowed,DraftKings (Pick 6),4.5,-145.0,Joe Musgrove
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Joe Musgrove Over 5.5,Player Strikeouts,DraftKings (Pick 6),5.5,-145.0,Joe Musgrove
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Joe Musgrove Under 5.5,Player Strikeouts,DraftKings (Pick 6),5.5,-145.0,Joe Musgrove
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Max Fried Over 4.5,Player Strikeouts,DraftKings (Pick 6),4.5,-145.0,Max Fried
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Max Fried Under 4.5,Player Strikeouts,DraftKings (Pick 6),4.5,-145.0,Max Fried
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Fernando Tatis Jr. Over 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Fernando Tatis Jr.
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Fernando Tatis Jr. Under 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Fernando Tatis Jr.
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Gio Urshela Over 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Gio Urshela
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Gio Urshela Under 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Gio Urshela
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Jackson Merrill Over 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Jackson Merrill
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Jackson Merrill Under 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Jackson Merrill
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Jurickson Profar Over 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Jurickson Profar
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Jurickson Profar Under 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Jurickson Profar
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Manny Machado Over 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Manny Machado
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Manny Machado Under 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Manny Machado
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Michael Harris II Over 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Michael Harris II
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Michael Harris II Under 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Michael Harris II
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Ozzie Albies Over 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Ozzie Albies
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Ozzie Albies Under 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Ozzie Albies
14818-25683-2024-10-02-17,San Diego Padres vs Atlanta Braves,Xander Bogaerts Over 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Xander Bogaerts
