Game ID,Game Name,Bet Name,Market Name,Sportsbook,line,Odds,Player Name
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Jose Quintana Over 4.5,Player Hits Allowed,DraftKings (Pick 6),4.5,-145.0,Jose Quintana
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Jose Quintana Under 4.5,Player Hits Allowed,DraftKings (Pick 6),4.5,-145.0,Jose Quintana
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Tobias Myers Over 4.5,Player Hits Allowed,DraftKings (Pick 6),4.5,-145.0,Tobias Myers
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Tobias Myers Under 4.5,Player Hits Allowed,DraftKings (Pick 6),4.5,-145.0,Tobias Myers
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Blake Perkins Over 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Blake Perkins
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Blake Perkins Under 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Blake Perkins
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Brandon Nimmo Over 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Brandon Nimmo
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Brandon Nimmo Under 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Brandon Nimmo
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Brice Turang Over 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Brice Turang
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Brice Turang Under 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Brice Turang
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Francisco Lindor Over 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Francisco Lindor
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Francisco Lindor Under 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Francisco Lindor
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Jackson Chourio Over 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Jackson Chourio
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Jackson Chourio Under 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Jackson Chourio
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Joey Ortiz Over 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Joey Ortiz
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Joey Ortiz Under 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Joey Ortiz
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Mark Vientos Over 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Mark Vientos
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Mark Vientos Under 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Mark Vientos
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Sal Frelick Over 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Sal Frelick
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Sal Frelick Under 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Sal Frelick
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Starling Marte Over 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Starling Marte
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Starling Marte Under 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,Starling Marte
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,William Contreras Over 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,William Contreras
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,William Contreras Under 0.5,Player Singles,DraftKings (Pick 6),0.5,-145.0,William Contreras
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Jose Quintana Over 4.5,Player Strikeouts,DraftKings (Pick 6),4.5,-145.0,Jose Quintana
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Jose Quintana Under 4.5,Player Strikeouts,DraftKings (Pick 6),4.5,-145.0,Jose Quintana
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Tobias Myers Over 3.5,Player Strikeouts,DraftKings (Pick 6),3.5,-145.0,Tobias Myers
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Tobias Myers Under 3.5,Player Strikeouts,DraftKings (Pick 6),3.5,-145.0,Tobias Myers
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Blake Perkins Over 1.5,Player Hits + Runs + RBIs,DraftKings (Pick 6),1.5,-145.0,Blake Perkins
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Blake Perkins Under 1.5,Player Hits + Runs + RBIs,DraftKings (Pick 6),1.5,-145.0,Blake Perkins
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Brandon Nimmo Over 1.5,Player Hits + Runs + RBIs,DraftKings (Pick 6),1.5,-145.0,Brandon Nimmo
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Brandon Nimmo Under 1.5,Player Hits + Runs + RBIs,DraftKings (Pick 6),1.5,-145.0,Brandon Nimmo
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Francisco Lindor Over 1.5,Player Hits + Runs + RBIs,DraftKings (Pick 6),1.5,-145.0,Francisco Lindor
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Francisco Lindor Under 1.5,Player Hits + Runs + RBIs,DraftKings (Pick 6),1.5,-145.0,Francisco Lindor
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Jackson Chourio Over 1.5,Player Hits + Runs + RBIs,DraftKings (Pick 6),1.5,-145.0,Jackson Chourio
37337-12164-2024-10-03-16,Milwaukee Brewers vs New York Mets,Jackson Chourio Under 1.5,Player Hits + Runs + RBIs,DraftKings (Pick 6),1.5,-145.0,Jackson Chourio
