Game ID,League,Bet Name,Game Name,Market Name,line_caesars,Odds_caesars,line_pinnacle,Odds_pinnacle,EV_caesars,true_prob_pinnacle
99638-12398-24-38,NCAAF,Florida A&M,,Moneyline,,950.0,,793.0,15.27567353929254,0.10978635575170718
78014-13184-24-38,NFL,Isaac Guerendo,Los Angeles Rams vs San Francisco 49ers,Anytime Touchdown Scorer,,800.0,,683.0,12.6887536623845,0.12520972629153834
78014-13184-24-38,NFL,Isaac Guerendo Over 0.5,Los Angeles Rams vs San Francisco 49ers,Player Touchdowns,0.5,800.0,0.5,683.0,12.6887536623845,0.12520972629153834
54558-76765-2024-09-21-18,MLB,Oakland Athletics,Oakland Athletics vs New York Yankees,1st Inning Moneyline 3-Way,,400.0,,343.0,10.653742309564919,0.22130748461912983
29856-33023-24-38,NCAAF,Under 59.5,,Total Points,59.5,-115.0,59.5,-149.0,9.679981648674826,0.5866603669580281
81005-25135-2024-09-21-16,MLB,St. Louis Cardinals,St. Louis Cardinals vs Cleveland Guardians,1st Inning Moneyline 3-Way,,360.0,,317.0,8.148775097569,0.2351060328208022
20563-12253-24-38,NCAAF,Pittsburgh -26.5,,Point Spread,-26.5,-105.0,-26.5,-129.0,7.824789304368018,0.5522733110711533
81005-25135-2024-09-21-16,MLB,Jordan Walker Over 0.5,St. Louis Cardinals vs Cleveland Guardians,Player Home Runs,0.5,550.0,0.5,497.0,6.742864650047636,0.16421979176930404
81005-25135-2024-09-21-16,MLB,Jordan Walker Yes,St. Louis Cardinals vs Cleveland Guardians,Player Home Runs Yes/No,,550.0,,497.0,6.742864650047636,0.16421979176930404
81005-25135-2024-09-21-16,MLB,Masyn Winn Over 0.5,St. Louis Cardinals vs Cleveland Guardians,Player Home Runs,0.5,600.0,0.5,543.0,6.730094837312848,0.15247156405330406
81005-25135-2024-09-21-16,MLB,Masyn Winn Yes,St. Louis Cardinals vs Cleveland Guardians,Player Home Runs Yes/No,,600.0,,543.0,6.730094837312848,0.15247156405330406
60486-26495-2024-09-21-16,MLB,Reid Detmers Over 17.5,Houston Astros vs Los Angeles Angels,Player Outs,17.5,-131.0,17.5,-160.0,6.3866533107664765,0.603318250377074
24292-36707-2024-09-21-10,MLB,Pittsburgh Pirates +6.5,Cincinnati Reds vs Pittsburgh Pirates,Run Line,6.5,316.0,6.5,284.0,6.209150326797399,0.2553104575163399
37569-25683-2024-09-21-17,MLB,Chicago White Sox,San Diego Padres vs Chicago White Sox,1st Inning Moneyline 3-Way,,460.0,,417.0,6.193347745287667,0.18963097811658514
14412-37337-2024-09-21-16,MLB,Milwaukee Brewers,Milwaukee Brewers vs Arizona Diamondbacks,1st Inning Moneyline 3-Way,,305.0,,274.0,6.165460836741104,0.26213694033763235
39341-21473-24-38,NFL,Kalif Raymond Under 11.5,Arizona Cardinals vs Detroit Lions,Player Longest Reception,11.5,-113.0,11.5,-134.0,5.825402545860648,0.5614211496564439
20026-35734-24-38,NCAAF,UCLA,LSU vs UCLA,1st Half Moneyline,,650.0,,595.0,5.797714769360965,0.1410636196924813
96808-18998-24-38,NCAAF,Under 48.5,,Total Points,48.5,-110.0,48.5,-130.0,5.789351313647998,0.5541346973572038
27927-37430-24-38,NFL,Daniel Jones Over 18.5,Cleveland Browns vs New York Giants,Player Passing Completions,18.5,104.0,18.5,-112.0,5.660377358490571,0.5179430262671106
16196-34048-2024-09-21-18,MLB,Colorado Rockies,Los Angeles Dodgers vs Colorado Rockies,1st Inning Moneyline 3-Way,,420.0,,383.0,5.54946616327689,0.20297974262168633
14412-37337-2024-09-21-16,MLB,Geraldo Perdomo Over 0.5,Milwaukee Brewers vs Arizona Diamondbacks,Player Home Runs,0.5,900.0,0.5,829.0,5.531986745182493,0.10553198674518248
14412-37337-2024-09-21-16,MLB,Geraldo Perdomo Yes,Milwaukee Brewers vs Arizona Diamondbacks,Player Home Runs Yes/No,,900.0,,829.0,5.531986745182493,0.10553198674518248
15260-40644-2024-09-21-13,MLB,Detroit Tigers,Baltimore Orioles vs Detroit Tigers,1st Inning Moneyline 3-Way,,330.0,,300.0,5.392156862745097,0.24509803921568626
14412-37337-2024-09-21-16,MLB,Joey Ortiz Yes,Milwaukee Brewers vs Arizona Diamondbacks,Player Home Runs Yes/No,,900.0,,832.0,5.1922915088782275,0.10519229150887822
14412-37337-2024-09-21-16,MLB,Joey Ortiz Over 0.5,Milwaukee Brewers vs Arizona Diamondbacks,Player Home Runs,0.5,900.0,0.5,832.0,5.1922915088782275,0.10519229150887822
35183-80389-2024-09-21-14,MLB,Grant McCray Over 0.5,Kansas City Royals vs San Francisco Giants,Player Home Runs,0.5,800.0,0.5,739.0,5.167215873238433,0.11685246208137605
35183-80389-2024-09-21-14,MLB,Grant McCray Yes,Kansas City Royals vs San Francisco Giants,Player Home Runs Yes/No,,800.0,,739.0,5.167215873238433,0.11685246208137605
21999-22078-24-38,NCAAF,Over 56,,Total Points,56.0,-110.0,56.0,-128.0,5.07552303217939,0.5503955968352253
