,Bet Name,Market Name,line_betmgm,Odds_betmgm,line_pinnacle,Odds_pinnacle,EV_betmgm,implied_prob_betmgm,true_prob_pinnacle,implied_prob_pinnacle
251,Under 9.5,1st Half Total Runs,9.5,105.0,9.5,-139.0,20.52535584117716,0.48780487804878053,0.587928565078913,0.5815899581589958
255,Miami Marlins +6.5,Run Line,6.5,130.0,6.5,-101.0,17.173835487940778,0.4347826086956522,0.5094514586432208,0.5024875621890548
253,Miami Marlins +7.5,Run Line,7.5,-125.0,7.5,-169.0,14.14167494790113,0.5555555555555556,0.6341204163772285,0.6282527881040892
249,Miami Marlins +6.5,1st Half Run Line,6.5,-165.0,6.5,-219.0,11.091873989808374,0.6226415094339623,0.6917041210686182,0.6865203761755486
62,Under 5.5,Total Runs,5.5,310.0,5.5,280.0,10.814331797429688,0.24390243902439027,0.27027885804251145,0.2631578947368421
87,New York Mets,1st Inning Moneyline 3-Way,,290.0,,264.0,9.94747273013752,0.25641025641025644,0.28191659674394237,0.2747252747252747
184,Under 4.5,Total Runs,4.5,475.0,4.5,454.0,7.40593379681286,0.17391304347826086,0.18679292834228325,0.18050541516245489
63,Under 7,Total Runs,7.0,185.0,7.0,171.0,7.283999376549694,0.3508771929824561,0.3764350855317533,0.36900369003690037
227,Tampa Bay Rays,1st Inning Moneyline 3-Way,,320.0,,304.0,6.904393157828181,0.23809523809523808,0.2545342694234004,0.24752475247524752
247,Under 13.5,Total Runs,13.5,-110.0,13.5,-123.0,6.560157320517483,0.5238095238095238,0.558172252631282,0.5515695067264574
176,Yes,No Runs First Inning,,-120.0,,-134.0,6.1628568503039745,0.5454545454545454,0.5790701282743853,0.5726495726495727
167,Under 0.5,1st Inning Total Runs,0.5,-120.0,0.5,-134.0,6.1628568503039745,0.5454545454545454,0.5790701282743853,0.5726495726495727
64,Under 7.5,Total Runs,7.5,135.0,7.5,125.0,6.152198824795214,0.425531914893617,0.4517114843608307,0.4444444444444444
8,Los Angeles Angels,1st Inning Moneyline 3-Way,,450.0,,438.0,5.729471012126922,0.18181818181818182,0.19223540184023077,0.1858736059479554
67,Under 8.5,Total Runs,8.5,100.0,8.5,-109.0,5.673137785586405,0.5,0.528365688927932,0.5215311004784688
212,Under 4.5,Total Runs,4.5,425.0,4.5,414.0,5.539600715111746,0.19047619047619047,0.20102781088592717,0.19455252918287938
168,Draw,1st Inning Moneyline 3-Way,,-135.0,,-150.0,5.51697182986792,0.574468085106383,0.6061613275332838,0.6000000000000001
240,Boston Red Sox -1.5,Run Line,-1.5,155.0,-1.5,147.0,5.122859596708693,0.3921568627450981,0.41224650822238706,0.40485829959514175
13,Over 11.5,Total Runs,11.5,325.0,11.5,316.0,5.118091185341626,0.23529411764705882,0.24733668514198032,0.24038461538461536
129,Milwaukee Brewers,1st Inning Moneyline 3-Way,,320.0,,312.0,4.869698324773992,0.23809523809523808,0.24968975791612852,0.24271844660194175
136,Over 11.5,Total Runs,11.5,310.0,11.5,302.0,4.867840463031371,0.24390243902439027,0.25577522064153996,0.24875621890547267
158,Arizona Diamondbacks -1.5,Run Line,-1.5,145.0,-1.5,139.0,4.312448938847901,0.4081632653061224,0.4257650977095832,0.4184100418410042
7,Houston Astros,1st Inning Moneyline 3-Way,,225.0,,219.0,4.27218917866054,0.3076923076923077,0.32083750516510934,0.31347962382445144
135,Yes,No Runs First Inning,,-125.0,,-134.0,4.232623089389357,0.5555555555555556,0.5790701282743853,0.5726495726495727
126,Under 0.5,1st Inning Total Runs,0.5,-125.0,0.5,-134.0,4.232623089389357,0.5555555555555556,0.5790701282743853,0.5726495726495727
80,New York Mets -0.5,1st Half Run Line,-0.5,-105.0,-0.5,-111.0,4.036150681524923,0.5121951219512195,0.5328680888565911,0.5260663507109005
128,Draw,1st Inning Moneyline 3-Way,,-140.0,,-150.0,3.9133704342772333,0.5833333333333333,0.6061613275332838,0.6000000000000001
219,Boston Red Sox -0.5,1st Half Run Line,-0.5,125.0,-0.5,120.0,3.898263943404139,0.4444444444444444,0.46177006197068504,0.45454545454545453
45,Chicago Cubs,1st Inning Moneyline 3-Way,,250.0,,246.0,3.698737144914361,0.2857142857142857,0.2962821061283267,0.28901734104046245
152,Arizona Diamondbacks -2.5,Run Line,-2.5,220.0,-2.5,216.0,3.6231135542496133,0.3125,0.32382222985703,0.3164556962025316
2,Over 4.5,1st Half Total Runs,4.5,-105.0,4.5,-110.0,3.59874266799536,0.5121951219512195,0.530627706348269,0.5238095238095238
141,Over 9.5,Total Runs,9.5,165.0,9.5,161.0,3.4994821258895783,0.37735849056603776,0.3905640834939229,0.38314176245210724
20,Under 4.5,Total Runs,4.5,450.0,4.5,450.0,3.4682857455903218,0.18181818181818182,0.18812415590107331,0.18181818181818182
121,Arizona Diamondbacks -0.5,1st Half Run Line,-0.5,120.0,-0.5,116.0,3.432734073778093,0.45454545454545453,0.47014879124444586,0.4629629629629629
21,Under 6.5,Total Runs,6.5,185.0,6.5,182.0,3.1812378786375746,0.3508771929824561,0.3620394311531143,0.35460992907801414
102,Under 4.5,Total Runs,4.5,450.0,4.5,452.0,3.1008850266096317,0.18181818181818182,0.1874561545938357,0.1811594202898551
111,New York Mets -2.5,Run Line,-2.5,240.0,-2.5,238.0,3.0719638378537724,0.29411764705882354,0.30315283481721694,0.2958579881656805
82,Over 4.5,1st Half Total Runs,4.5,-110.0,4.5,-114.0,2.9882944462319756,0.5238095238095238,0.5394624947183579,0.5327102803738317
225,Boston Red Sox,1st Inning Moneyline 3-Way,,325.0,,325.0,2.936116293466057,0.23529411764705882,0.24220262657286132,0.23529411764705882
143,Under 4.5,Total Runs,4.5,450.0,4.5,453.0,2.9181712914292177,0.18181818181818182,0.18712394780259858,0.18083182640144665
228,Over 4,1st Half Total Runs,4.0,-120.0,4.0,-123.0,2.331579649068374,0.5454545454545454,0.558172252631282,0.5515695067264574
217,Over 8,Total Runs,8.0,-105.0,8.0,-107.0,2.2609270616339217,0.5121951219512195,0.5237754800717835,0.5169082125603864
1,Los Angeles Angels +0.5,1st Half Run Line,0.5,145.0,0.5,144.0,2.2172174751126974,0.4081632653061224,0.41721313255148035,0.4098360655737705
44,Under 0.5,1st Inning Total Runs,0.5,-110.0,0.5,-112.0,2.1530006329152016,0.5238095238095238,0.5350871461724129,0.5283018867924528
53,Yes,No Runs First Inning,,-110.0,,-112.0,2.1530006329152016,0.5238095238095238,0.5350871461724129,0.5283018867924528
49,Chicago Cubs Under 4.5,Team Total,4.5,-110.0,4.5,-112.0,2.1530006329152016,0.5238095238095238,0.5350871461724129,0.5283018867924528
91,Philadelphia Phillies Over 3.5,Team Total,3.5,-130.0,3.5,-133.0,2.129284482650313,0.5652173913043479,0.5772524775106322,0.5708154506437768
131,Arizona Diamondbacks Under 3.5,Team Total,3.5,120.0,3.5,119.0,2.0439939367109616,0.45454545454545453,0.46383633607595887,0.4566210045662101
46,Draw,1st Inning Moneyline 3-Way,,-125.0,,-127.0,1.8813782803308357,0.5555555555555556,0.5660076571129491,0.5594713656387665
132,Milwaukee Brewers Over 3.5,Team Total,3.5,-125.0,3.5,-127.0,1.8813782803308357,0.5555555555555556,0.5660076571129491,0.5594713656387665
171,Pittsburgh Pirates Over 3.5,Team Total,3.5,-125.0,3.5,-127.0,1.8813782803308357,0.5555555555555556,0.5660076571129491,0.5594713656387665
22,Under 7,Total Runs,7.0,150.0,7.0,150.0,1.8494762838350596,0.4,0.40739790513534024,0.4
26,Under 8,Total Runs,8.0,-105.0,8.0,-106.0,1.8062484384177964,0.5121951219512195,0.5214466383431156,0.5145631067961165
242,Boston Red Sox,Moneyline,,-110.0,,-111.0,1.7293624180764908,0.5238095238095238,0.5328680888565911,0.5260663507109005
140,Over 9,Total Runs,9.0,135.0,9.0,135.0,1.723514689884162,0.425531914893617,0.4328660199569539,0.425531914893617
65,Under 9.5,Total Runs,9.5,-165.0,9.5,-168.0,1.6232143750392893,0.6226415094339623,0.632748315920056,0.626865671641791
117,New York Mets -1.5,Run Line,-1.5,155.0,-1.5,156.0,1.4997597858109017,0.3921568627450981,0.39803827366984673,0.390625
185,Under 6.5,Total Runs,6.5,190.0,6.5,192.0,1.4665288452476943,0.3448275862068966,0.349884582224992,0.3424657534246575
95,Over 11.5,Total Runs,11.5,310.0,11.5,316.0,1.408040908211916,0.24390243902439027,0.24733668514198032,0.24038461538461536
18,Over 9.5,Total Runs,9.5,165.0,9.5,167.0,1.2196515240657817,0.37735849056603776,0.381960949147418,0.37453183520599254
160,Arizona Diamondbacks,Moneyline,,-120.0,,-120.0,1.219649402217506,0.5454545454545454,0.55210717855755,0.5454545454545454
186,Under 7,Total Runs,7.0,160.0,7.0,162.0,1.1668161674920015,0.3846153846153846,0.38910313910573846,0.38167938931297707
36,Los Angeles Angels +1.5,Run Line,1.5,110.0,1.5,111.0,1.0235180968355309,0.47619047619047616,0.481064371889693,0.4739336492890995
244,Over 0.5,1st Inning Total Runs,0.5,110.0,0.5,111.0,1.0235180968355309,0.47619047619047616,0.481064371889693,0.4739336492890995
203,No,No Runs First Inning,,110.0,,111.0,1.0235180968355309,0.47619047619047616,0.481064371889693,0.4739336492890995
209,Over 9,Total Runs,9.0,145.0,9.0,147.0,1.0003945144848458,0.4081632653061224,0.41224650822238706,0.40485829959514175
84,Over 0.5,1st Inning Total Runs,0.5,100.0,0.5,101.0,0.9015550382766406,0.5,0.5045077751913832,0.49751243781094534
93,No,No Runs First Inning,,100.0,,101.0,0.9015550382766406,0.5,0.5045077751913832,0.49751243781094534
224,Tampa Bay Rays Under 3.5,Team Total,3.5,100.0,3.5,101.0,0.9015550382766406,0.5,0.5045077751913832,0.49751243781094534
165,Under 4.5,1st Half Total Runs,4.5,-105.0,4.5,-104.0,0.8833906845765966,0.5121951219512195,0.5167198059453924,0.5098039215686274
51,Washington Nationals Under 3.5,Team Total,3.5,-105.0,3.5,-104.0,0.8833906845765966,0.5121951219512195,0.5167198059453924,0.5098039215686274
124,Under 4.5,1st Half Total Runs,4.5,-125.0,4.5,-124.0,0.8283589002505565,0.5555555555555556,0.5601575494458364,0.5535714285714286
77,Washington Nationals +1.5,Run Line,1.5,-145.0,1.5,-144.0,0.7746490926039513,0.5918367346938775,0.5964213925888805,0.5901639344262295
29,Houston Astros -2.5,Run Line,-2.5,125.0,-2.5,127.0,0.7574524019145912,0.4444444444444444,0.4478108995640649,0.44052863436123346
103,Under 6.5,Total Runs,6.5,185.0,6.5,189.0,0.7314241541976827,0.3508771929824561,0.35344359352350063,0.34602076124567477
89,New York Mets Over 4.5,Team Total,4.5,115.0,4.5,117.0,0.6254697374751217,0.46511627906976744,0.4680254406394192,0.4608294930875576
238,Tampa Bay Rays -2.5,Run Line,-2.5,300.0,-2.5,309.0,0.5937850021329609,0.25,0.2514844625053324,0.24449877750611249
61,Under 12.5,Total Runs,12.5,-500.0,12.5,-507.0,0.5921588773827082,0.8333333333333334,0.8382679906448559,0.8352553542009884
