Game ID,Bet Name,Game Name,Market Name,line_caesars,Odds_caesars,line_pinnacle,Odds_pinnacle,EV_caesars
38907-41645-24-38,Charlotte,Indiana vs Charlotte,1st Half Moneyline,,1250.0,,967.0,24.042119190694095
35807-41184-24-38,North Carolina State,Clemson vs North Carolina State,1st Quarter Moneyline,,360.0,,302.0,12.18417715344843
36827-18077-24-38,Akron,,Moneyline,,1550.0,,1393.0,8.348764824081002
77025-21097-24-38,Ohio,Kentucky vs Ohio,Moneyline,,800.0,,723.0,7.211779000786208
16087-75184-24-38,South Florida,South Florida vs Miami Florida,1st Half Moneyline,,400.0,,360.0,6.564364876385341
32264-35921-24-38,Miami Ohio,Notre Dame vs Miami Ohio,1st Half Moneyline,,1050.0,,964.0,5.963438006781644
47126-32932-24-38,Army -0.5,Army vs Rice,1st Quarter Point Spread,-0.5,-110.0,-0.5,-130.0,5.789351313647998
15175-16906-24-38,Nebraska -3,Nebraska vs Illinois,1st Quarter Point Spread,-3.0,110.0,-3.0,-105.0,5.451936872309915
28442-36546-24-38,Vanderbilt +11.5,Missouri vs Vanderbilt,1st Half Point Spread,11.5,-110.0,11.5,-128.0,5.07552303217939
43291-12171-24-38,Arkansas State,Iowa State vs Arkansas State,Moneyline,,900.0,,841.0,4.186201579462818
36827-18077-24-38,Akron,South Carolina vs Akron,1st Half Moneyline,,950.0,,915.0,1.419878296146038
12992-42095-24-38,Georgia Tech,Louisville vs Georgia Tech,1st Quarter Moneyline,,196.0,,189.0,0.4138679693330829
47584-74450-24-38,Stanford,Syracuse vs Stanford,1st Quarter Moneyline,,162.0,,156.0,0.33700980392156765
18137-21173-24-38,Bowling Green,Texas A&M vs Bowling Green,Moneyline,,950.0,,1005.0,-1.0
28442-36546-24-38,Vanderbilt,Missouri vs Vanderbilt,Moneyline,,800.0,,788.0,-1.0
