,Game ID,Bet Name,Market Name,Sportsbook,line,Odds
0,37569-25683-2024-09-20-18,Over 0.5,1st Inning Total Runs,Caesars,0.5,110.0
1,37569-25683-2024-09-20-18,Under 0.5,1st Inning Total Runs,Caesars,0.5,-140.0
2,37569-25683-2024-09-20-18,Chicago White Sox,Moneyline,Caesars,,205.0
3,37569-25683-2024-09-20-18,San Diego Padres,Moneyline,Caesars,,-250.0
4,37569-25683-2024-09-20-18,Over 7.5,Total Runs,Caesars,7.5,100.0
5,37569-25683-2024-09-20-18,Under 7.5,Total Runs,Caesars,7.5,-120.0
6,37569-25683-2024-09-20-18,San Diego Padres Over 2.5,Team Total,Caesars,2.5,-350.0
7,37569-25683-2024-09-20-18,San Diego Padres Over 3.5,Team Total,Caesars,3.5,-175.0
8,37569-25683-2024-09-20-18,San Diego Padres Over 5.5,Team Total,Caesars,5.5,160.0
9,37569-25683-2024-09-20-18,San Diego Padres Over 6.5,Team Total,Caesars,6.5,250.0
10,37569-25683-2024-09-20-18,San Diego Padres Over 7.5,Team Total,Caesars,7.5,375.0
11,37569-25683-2024-09-20-18,San Diego Padres Over 8.5,Team Total,Caesars,8.5,550.0
12,37569-25683-2024-09-20-18,San Diego Padres Under 2.5,Team Total,Caesars,2.5,250.0
13,37569-25683-2024-09-20-18,San Diego Padres Under 3.5,Team Total,Caesars,3.5,138.0
14,37569-25683-2024-09-20-18,San Diego Padres Under 5.5,Team Total,Caesars,5.5,-225.0
15,37569-25683-2024-09-20-18,San Diego Padres Under 6.5,Team Total,Caesars,6.5,-350.0
16,37569-25683-2024-09-20-18,San Diego Padres Under 7.5,Team Total,Caesars,7.5,-600.0
17,37569-25683-2024-09-20-18,San Diego Padres Under 8.5,Team Total,Caesars,8.5,-1000.0
18,37569-25683-2024-09-20-18,San Diego Padres Over 4.5,Team Total,Caesars,4.5,100.0
19,37569-25683-2024-09-20-18,San Diego Padres Under 4.5,Team Total,Caesars,4.5,-133.0
20,37569-25683-2024-09-20-18,No,No Runs First Inning,Caesars,,110.0
21,37569-25683-2024-09-20-18,Yes,No Runs First Inning,Caesars,,-140.0
22,37569-25683-2024-09-20-18,Chicago White Sox,1st Inning Moneyline 3-Way,Caesars,,460.0
23,37569-25683-2024-09-20-18,Draw,1st Inning Moneyline 3-Way,Caesars,,-200.0
24,37569-25683-2024-09-20-18,San Diego Padres,1st Inning Moneyline 3-Way,Caesars,,255.0
25,54558-76765-2024-09-20-18,Over 0.5,1st Inning Total Runs,Caesars,0.5,105.0
26,54558-76765-2024-09-20-18,Under 0.5,1st Inning Total Runs,Caesars,0.5,-135.0
27,54558-76765-2024-09-20-18,New York Yankees,Moneyline,Caesars,,-195.0
28,54558-76765-2024-09-20-18,Oakland Athletics,Moneyline,Caesars,,162.0
29,54558-76765-2024-09-20-18,Over 8,Total Runs,Caesars,8.0,-105.0
30,54558-76765-2024-09-20-18,Under 8,Total Runs,Caesars,8.0,-115.0
31,54558-76765-2024-09-20-18,New York Yankees Over 2.5,Team Total,Caesars,2.5,-400.0
32,54558-76765-2024-09-20-18,New York Yankees Over 3.5,Team Total,Caesars,3.5,-200.0
33,54558-76765-2024-09-20-18,New York Yankees Over 5.5,Team Total,Caesars,5.5,130.0
34,54558-76765-2024-09-20-18,New York Yankees Over 6.5,Team Total,Caesars,6.5,200.0
35,54558-76765-2024-09-20-18,New York Yankees Over 7.5,Team Total,Caesars,7.5,290.0
36,54558-76765-2024-09-20-18,New York Yankees Over 8.5,Team Total,Caesars,8.5,450.0
37,54558-76765-2024-09-20-18,New York Yankees Under 2.5,Team Total,Caesars,2.5,275.0
38,54558-76765-2024-09-20-18,New York Yankees Under 3.5,Team Total,Caesars,3.5,160.0
39,54558-76765-2024-09-20-18,New York Yankees Under 5.5,Team Total,Caesars,5.5,-167.0
40,54558-76765-2024-09-20-18,New York Yankees Under 6.5,Team Total,Caesars,6.5,-275.0
41,54558-76765-2024-09-20-18,New York Yankees Under 7.5,Team Total,Caesars,7.5,-450.0
42,54558-76765-2024-09-20-18,New York Yankees Under 8.5,Team Total,Caesars,8.5,-800.0
43,54558-76765-2024-09-20-18,New York Yankees Over 4.5,Team Total,Caesars,4.5,-125.0
44,54558-76765-2024-09-20-18,New York Yankees Under 4.5,Team Total,Caesars,4.5,100.0
45,54558-76765-2024-09-20-18,No,No Runs First Inning,Caesars,,105.0
46,54558-76765-2024-09-20-18,Yes,No Runs First Inning,Caesars,,-135.0
47,54558-76765-2024-09-20-18,Draw,1st Inning Moneyline 3-Way,Caesars,,-190.0
48,54558-76765-2024-09-20-18,New York Yankees,1st Inning Moneyline 3-Way,Caesars,,270.0
49,54558-76765-2024-09-20-18,Oakland Athletics,1st Inning Moneyline 3-Way,Caesars,,400.0
50,81005-25135-2024-09-20-17,Over 0.5,1st Inning Total Runs,Caesars,0.5,100.0
51,81005-25135-2024-09-20-17,Under 0.5,1st Inning Total Runs,Caesars,0.5,-130.0
52,81005-25135-2024-09-20-17,Cleveland Guardians,Moneyline,Caesars,,-105.0
53,81005-25135-2024-09-20-17,St. Louis Cardinals,Moneyline,Caesars,,-115.0
54,81005-25135-2024-09-20-17,Over 8,Total Runs,Caesars,8.0,-115.0
55,81005-25135-2024-09-20-17,Under 8,Total Runs,Caesars,8.0,-105.0
56,81005-25135-2024-09-20-17,Cleveland Guardians Over 2.5,Team Total,Caesars,2.5,-275.0
57,81005-25135-2024-09-20-17,Cleveland Guardians Over 4.5,Team Total,Caesars,4.5,115.0
58,81005-25135-2024-09-20-17,Cleveland Guardians Over 5.5,Team Total,Caesars,5.5,180.0
59,81005-25135-2024-09-20-17,Cleveland Guardians Over 6.5,Team Total,Caesars,6.5,270.0
60,81005-25135-2024-09-20-17,Cleveland Guardians Over 7.5,Team Total,Caesars,7.5,400.0
61,81005-25135-2024-09-20-17,Cleveland Guardians Over 8.5,Team Total,Caesars,8.5,600.0
62,81005-25135-2024-09-20-17,Cleveland Guardians Under 2.5,Team Total,Caesars,2.5,200.0
63,81005-25135-2024-09-20-17,Cleveland Guardians Under 4.5,Team Total,Caesars,4.5,-154.0
64,81005-25135-2024-09-20-17,Cleveland Guardians Under 5.5,Team Total,Caesars,5.5,-250.0
