Game ID,Bet Name,Game Name,Market Name,line_betmgm,Odds_betmgm,line_pinnacle,Odds_pinnacle,EV_betmgm
14818-40673-2024-09-20-16,Miami Marlins,Miami Marlins vs Atlanta Braves,1st Inning Moneyline 3-Way,,400.0,,333.0,13.209255988769627
39506-20895-2024-09-20-16,Under 5.5,Boston Red Sox vs Minnesota Twins,Total Runs,5.5,360.0,5.5,305.0,11.35318324860809
37569-25683-2024-09-20-18,San Diego Padres,San Diego Padres vs Chicago White Sox,1st Inning Moneyline 3-Way,,270.0,,228.0,10.593017694882818
15260-40644-2024-09-20-16,Baltimore Orioles,Baltimore Orioles vs Detroit Tigers,1st Inning Moneyline 3-Way,,275.0,,239.0,8.45045982994968
38548-10478-2024-09-20-17,Over 10.5,Texas Rangers vs Seattle Mariners,Total Runs,10.5,350.0,10.5,307.0,8.39716722069663
39506-20895-2024-09-20-16,Under 7,Boston Red Sox vs Minnesota Twins,Total Runs,7.0,220.0,7.0,190.0,8.18120351588911
60486-26495-2024-09-20-17,Los Angeles Angels,Houston Astros vs Los Angeles Angels,1st Inning Moneyline 3-Way,,450.0,,400.0,7.843137254901961
12164-37900-2024-09-20-16,New York Mets,New York Mets vs Philadelphia Phillies,1st Inning Moneyline 3-Way,,340.0,,303.0,7.040334744319594
54558-76765-2024-09-20-18,Oakland Athletics,Oakland Athletics vs New York Yankees,1st Inning Moneyline 3-Way,,375.0,,336.0,6.808778557294488
12164-37900-2024-09-20-16,Under 3.5,New York Mets vs Philadelphia Phillies,Total Runs,3.5,550.0,3.5,502.0,5.856296006774812
81005-25135-2024-09-20-17,Over 12.5,St. Louis Cardinals vs Cleveland Guardians,Total Runs,12.5,425.0,12.5,387.0,5.689092885614201
16196-34048-2024-09-20-19,Los Angeles Dodgers,Los Angeles Dodgers vs Colorado Rockies,1st Inning Moneyline 3-Way,,210.0,,200.0,1.3071895424836413
15260-40644-2024-09-20-16,Detroit Tigers,Baltimore Orioles vs Detroit Tigers,1st Inning Moneyline 3-Way,,350.0,,351.0,-1.0
40548-36174-2024-09-20-11,Washington Nationals,Chicago Cubs vs Washington Nationals,1st Inning Moneyline 3-Way,,320.0,,323.0,-1.0
