Game ID,Bet Name,Game Name,Market Name,line_betmgm,Odds_betmgm,line_pinnacle,Odds_pinnacle,EV_betmgm
14818-40673-2024-09-20-16,Griffin Conine Yes,Miami Marlins vs Atlanta Braves,Player Home Runs Yes/No,,1200.0,,735.0,52.6359046612657
14818-40673-2024-09-20-16,Griffin Conine Over 0.5,Miami Marlins vs Atlanta Braves,Player Home Runs,0.5,1200.0,0.5,735.0,52.6359046612657
24292-36707-2024-09-20-15,Andrew McCutchen Yes,Cincinnati Reds vs Pittsburgh Pirates,Player Home Runs Yes/No,,425.0,,341.0,16.713352007469638
24292-36707-2024-09-20-15,Andrew McCutchen Over 0.5,Cincinnati Reds vs Pittsburgh Pirates,Player Home Runs,0.5,425.0,0.5,341.0,16.713352007469638
37569-25683-2024-09-20-18,Andrew Vaughn Yes,San Diego Padres vs Chicago White Sox,Player Home Runs Yes/No,,700.0,,583.0,14.833634771624602
37569-25683-2024-09-20-18,Andrew Vaughn Over 0.5,San Diego Padres vs Chicago White Sox,Player Home Runs,0.5,700.0,0.5,583.0,14.833634771624602
60486-26495-2024-09-20-17,Brandon Drury Yes,Houston Astros vs Los Angeles Angels,Player Home Runs Yes/No,,700.0,,594.0,13.0135051138611
60486-26495-2024-09-20-17,Brandon Drury Over 0.5,Houston Astros vs Los Angeles Angels,Player Home Runs,0.5,700.0,0.5,594.0,13.0135051138611
16196-34048-2024-09-20-19,Kyle Freeland Under 3.5,Los Angeles Dodgers vs Colorado Rockies,Player Strikeouts,3.5,110.0,3.5,-121.0,12.722917221187139
16196-34048-2024-09-20-19,Shohei Ohtani Yes,Los Angeles Dodgers vs Colorado Rockies,Player Home Runs Yes/No,,375.0,,320.0,10.877684407096154
16196-34048-2024-09-20-19,Shohei Ohtani Over 0.5,Los Angeles Dodgers vs Colorado Rockies,Player Home Runs,0.5,375.0,0.5,320.0,10.877684407096154
35183-80389-2024-09-20-17,Mason Black Under 2.5,Kansas City Royals vs San Francisco Giants,Player Earned Runs,2.5,100.0,2.5,-124.0,8.543417366946798
14818-40673-2024-09-20-16,Ramon Laureano Yes,Miami Marlins vs Atlanta Braves,Player Home Runs Yes/No,,425.0,,377.0,7.90479713898138
14818-40673-2024-09-20-16,Ramon Laureano Over 0.5,Miami Marlins vs Atlanta Braves,Player Home Runs,0.5,425.0,0.5,377.0,7.90479713898138
12164-37900-2024-09-20-16,David Peterson Under 17.5,New York Mets vs Philadelphia Phillies,Player Outs,17.5,-105.0,17.5,-129.0,7.824789304368018
54558-76765-2024-09-20-18,Gerrit Cole Over 17.5,Oakland Athletics vs New York Yankees,Player Outs,17.5,-175.0,17.5,-230.0,7.376283846872081
